"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",5,0,83,83,79,88,284072,0.23
"GET","/ayakkabi-canta-canta-aksesuar/318/liste",1,0,420,417,417,417,602210,0.05
"GET","/ayakkabi-canta-erkek-ayakkabi-bot-cizme/328/liste",1,0,250,253,253,253,547955,0.05
"GET","/ayakkabi-canta-erkek-ayakkabi/317/liste",1,0,260,262,262,262,593889,0.05
"GET","/ayakkabi-canta-kadin-ayakkabi-bot-cizme/324/liste",1,0,450,453,453,453,588289,0.05
"GET","/ayakkabi-canta-kadin-ayakkabi-sandalet-terlik/323/liste",2,0,260,281,263,299,535188,0.09
"GET","/ayakkabi-canta-kadin-ayakkabi/316/liste",1,0,640,642,642,642,625318,0.05
"GET","/ayakkabi-canta/315/liste?fh=recencyday_catalog01%5B15",1,0,330,332,332,332,509089,0.05
"GET","/ayakkabi-canta/315/vitrin",1,0,140,140,140,140,261914,0.05
"GET","/betsey-johnson/markalar/0/51154/marka",1,0,320,321,321,321,292016,0.05
"GET","/brut/markalar/0/159904/marka",1,0,250,252,252,252,285143,0.05
"GET","/buyuk-kis-indirimi/591/morhipo-ozel",1,0,78,78,78,78,232036,0.05
"GET","/ceremony/435/morhipo-ozel",1,0,71,71,71,71,232316,0.05
"GET","/cocuk-anne-bebek-araba-ekipman/217/liste",1,0,430,432,432,432,498983,0.05
"GET","/cocuk-anne-bebek-bebek-beslenme/491/liste",1,0,370,367,367,367,484133,0.05
"GET","/cocuk-anne-bebek/146/liste",2,0,260,404,262,547,749607,0.09
"GET","/cocuk-cocuk-giyim-canta-aksesuar/349/liste",2,0,220,286,220,353,563501,0.09
"GET","/cocuk-cocuk-odasi/439/liste",2,0,180,230,176,284,497196,0.09
"GET","/cocuk-oyuncak-bahce-oyuncaklari/386/liste",1,0,250,246,246,246,453077,0.05
"GET","/cocuk-oyuncak-erkek-cocuk-oyuncak/381/liste",1,0,280,281,281,281,460758,0.05
"GET","/cocuk-oyuncak-pelus-oyuncaklar/379/liste",2,0,1200,1257,1192,1322,454201,0.09
"GET","/cocuk/4/liste?fh=discount_rate_catalog01%5D25",1,0,550,548,548,548,846303,0.05
"GET","/cocuk/4/vitrin",4,0,140,148,130,189,262223,0.18
"GET","/erkek-aksesuar-aksesuar/64/liste",2,0,230,274,232,317,585978,0.09
"GET","/erkek-aksesuar-kravat-kol-dugmesi/172/liste",1,0,280,278,278,278,493606,0.05
